sentiment,objectivity,emotion,variant,type,sentence
positive,org,plain,announce,ACPROSE,about 70 million from a capital projects' scheme	announced in the 1977 Budget.
positive,org,plain,announce,ACPROSE,"The new cabinet and other ministerial appointments are 	announced within a matter of days, sometimes within a matter of hours."
neutral,pers,plain,announce,ACPROSE,The speaker announces another change of location c.
neutral,org,plain,announce,ACPROSE,Northern Ireland Block&and its division between services are announced in the government's annual white paper.
neutral,org,plain,announce,ACPROSE,"The Swansea and Neath association announced its social respectability in its president,"
neutral,org,plain,announce,ACPROSE,"The break with this structure of belonging can be announced only through a certain organisation, a certain strategic arrangement which"
positive,org,plain,announce,ACPROSE,"At the launching of Action for Cities , it was announced that no more UDCs were planned for the foreseeable future."
neutral,org,plain,announce,ACPROSE,NASA has announced plans to collect up to 1 terabyte (10&sup12; bytes) /day.
positive,org,plain,announce,ACPROSE,Early this year the Ministry of Health and Welfare (MHW)	announced that it would begin making regular payments to haemophiliacs infected with HIV.
positive,org,plain,announce,ACPROSE,the Government announced its fight against inflation with all its consequences for local government spending.
negative,org,plain,announce,ACPROSE,when the intention to impose the tax was announced and the date of its becoming law. I
neutral,org,plain,announce,ACPROSE,"On the contrary, the Court of Appeal announced early in the history of the interpretation of the section that it was"
positive,org,plain,announce,ACPROSE,Situationists from the more radical utopians is their blanket condemnation of work. Never work announced the Surrealists. It is an amusing quip (especially for those with private means) and
neutral,org,plain,announce,ACPROSE,"The government's annual White Papers on public expenditure, which announce the detailed plans for spending and for expanding or cutting the various services"
positive,org,plain,announce,ACPROSE,"Consequently, it is prohibited to announce separate recruitment and to set up separate lists of successful candidates"
positive,org,plain,announce,ACPROSE,"Typically, in the wake of the uprisings of 1985 in Britain the government	announced the advent of a new policy measure,"
negative,org,plain,announce,ACPROSE,A better strategy is to announce the changes quickly and then implement them slowly.
neutral,org,plain,announce,ACPROSE,Lansdowne announced the changed policy at an Albert Hall rally
positive,pers,violent,announce,ACPROSE,"John Plamenatz announced enthusiastically that ""the voice of the people is heard everlastingly"""
positive,org,plain,announce,ACPROSE,"and even if he is right, this hypothetical legislative decision has not been announced in advance, so the ideal of protected expectations has in that way been compromised."
neutral,org,plain,announce,ACPROSE,In 1988 two other CATS were announced based in Leeds and Nottingham.
negative,org,plain,announce,ACPROSE,Mrs Thatcher finally announced her decision to resign at a Cabinet meeting summoned
negative,pers,plain,announce,ACPROSE,At the conclusion of the hearing Russell L.J. announced that the appeal would be dismissed for reasons to be given at a later date.
positive,org,plain,announce,ACPROSE,Exploration is continuing in the area and RioFinex has announced the discovery of similar mineralisation at the Lack prospect west of Omagh.
neutral,org,plain,announce,ACPROSE,"John Howard's proposals for a national penitentiary, RA. Butler's building programme announced in his 1959 white paper,"
negative,org,plain,announce,ACPROSE,"This was a much larger cut than the government had planned, larger indeed than the announced cuts that had caused so much controversy in 1976."
positive,org,plain,announce,ACPROSE,"initially understood as compatible with support for Canning's amelioration policy announced in parliament on 15 May 1823,"
positive,org,plain,announce,ACPROSE,"to the parties to the proceedings in that court and in clarifying the law of England, we announced our intention of expressing our full reasons in writing to be delivered at a later date."
positive,org,plain,announce,ACPROSE,972 Agricultural rent restrictions It was announced in the House of Commons on 26th February 1975 that the current restrictions on agricultural rents should cease to operate from 28th May 1975.
negative,org,plain,announce,ACPROSE,In March 1801 he announced that Hartley was overthrown and that Newton was a mere materialist.
positive,org,plain,announce,ACPROSE,In 1911 the inaugural conference of the National Council of Public Morals (NCPM) announced that prevention rather than punishment was to be the keynote in the regeneration of the nation's moral life
positive,org,plain,announce,ACPROSE,"For good measure, the Government also announced that, while waiting to introduce the statutory sick pay scheme, sickness benefit would be similarly abated, as would unemployment benefit"
positive,org,plain,announce,ACPROSE,"This is also implied by VI thelred itself, where the opening chapter announces itself as ""the first ordinance of the bishops"""
positive,pers,violent,declare,ACPROSE,Contributors emphasized that purity was a positive advance for women and that the paper's editors should declare themselves on the side of reverence and self-control.
positive,org,plain,declare,ACPROSE,to use extralegal standards to make what conventionalism declares to be new law.
negative,org,plain,declare,ACPROSE,"The Provisions of Oxford were thus quashed and declared null and void, while the King was to retain control over his choice"
negative,org,plain,declare,ACPROSE,"Edward's officials ignored Charles's summons to make reparations, and Charles accordingly declared Gascony confiscated."
negative,org,plain,declare,ACPROSE,"the Royal Commission on Capital Punishment in 1955, Chuter Ede declared that his time as Home Secretary had not persuaded him either way of the arguments for or against deterrence."
neutral,org,plain,declare,ACPROSE,"accept Parliament's power to make new laws, but a legal distinction was made between statutes which 	declare	d old law and those which created new law."
neutral,pers,plain,declare,ACPROSE,"The easiest way to get a component ""accepted"" is to declare that it has no, or only the simplest, association with the rest of the machine."
neutral,pers,plain,declare,ACPROSE," Even if higher order descriptions of geometric associations (ie detail entities, surfaces or solids) are declared then associativity between objects is first performed on the relevant enveloping"
positive,org,plain,declare,ACPROSE,"An editorial declared that the change of name signified a ""steady trend towards a wider outlook"""
neutral,org,plain,declare,ACPROSE,"famous speech at Woolwich Polytechnic in 1965, in which he declared the government's acceptance of the need for a system based on the twin traditions"
negative,org,plain,declare,ACPROSE,has varied in different areas and there has been an unwillingness to declare invalid administrative decisions simply because the applicant
negative,org,plain,declare,ACPROSE,"The next stage of the crisis was precipitated by the Serbians, who declared war on Bulgaria to get compensating advantages (14 November 1885)."
neutral,pers,plain,declare,ACPROSE,"The gear-lever is, in this example,  declared to have associations both with the cover and the passenger compartment"
positive,org,plain,declare,ACPROSE,Reynolds newspaper declared it surprising that any respectable paper should advertise such wares.
neutral,org,plain,declare,ACPROSE,"A State with more than one official language may, if necessary under internal law, declare the language of Letters to be used in specified parts of its territory."
negative,pers,plain,declare,ACPROSE,"But this agency is pathologized. Psychology declares it to be fantastic, irrational and ineffective,"
neutral,org,plain,declare,ACPROSE,In this case the group attributes declared for the definition of the hole are wholly contained with the attributes
neutral,pers,violent,declare,ACPROSE,"It is thus that he declares himself for Dunning's sapphics, flashing out at any one who cannot feel the beauty of their melody"
negative,pers,plain,declare,ACPROSE,"public wars (declared by a competent authority in the public interest), while they condemned the wars of lesser men as infractions of the peace."
positive,pers,plain,declare,ACPROSE,non-communicable diseases we declare that a concerted global action needs to be initiated to develop national
negative,org,plain,declare,ACPROSE,"treaty of friendship and cooperation to the USSR. A new constitution, adopted in 1980,	declare	d that Vietnam was a state of proletarian dictatorship"
neutral,org,plain,declare,ACPROSE,"may at the time of signature, ratification or accession,	declare	 that it will not execute Letters of request issued for the purpose of"
neutral,pers,plain,declare,ACPROSE,"Similarly, and . Hence so nodes 4 and 2 can be	declare	d inactive and the problem is solved."
negative,org,plain,declare,ACPROSE,"many tens of thousands of miners' jobs would be at risk as more and more pits were declared uneconomic, not necessarily because the coal reserves had been worked out"
negative,pers,plain,declare,ACPROSE,"Secondly, the hope that branches not developed may be declared inactive by bounding."
neutral,org,plain,declare,ACPROSE,"The PCI repudiated its previous adherence to Lenin's insurrectionary road to socialism, declared its permanent attachment to multi-party politics and complete acceptance of liberal constitutional"
neutral,org,plain,declare,ACPROSE,"given the status of a self-governing dominion. (The Irish Constitution of 1937 declared the country to be a sovereign independent state, a position recognized by "
neutral,org,plain,declare,ACPROSE,"A bolt declared in the ""instrument"" domain may be specified as aligning with a hole declared in the ""bracket"" ."
neutral,org,plain,declare,ACPROSE,"For the French, who declared that old-style exploitation of colonies was a thing of the past"
neutral,org,plain,declare,ACPROSE,"if so when, any further dividend is expected to be declared (r 11.6(2)). Dividends may be sent by post, held for collection or paid"
neutral,org,plain,declare,ACPROSE,"a certain legal situation now existed, hostilities having been formally declared. Indeed, as the study of the law emerging from the application of these laws makes clear"
neutral,pers,violent,declare,ACPROSE,In this paper (as in [R]) we insist that each parallel process declares which globe variables it wishes to be able to modify
negative,org,plain,declare,ACPROSE,"no guarantee that the information obtained is entirely reliable. Individuals may not declare all their income, particularly if they have not been truthful to the Inland Revenue"
negative,org,plain,declare,ACPROSE,began almost a decade of fighting. Open war was declared against Scotland in 1542 and against France in 1543;
negative,pers,plain,declare,ACPROSE,In this case we can immediately develop the up-problem and declare	the node on the down-branch inactive.
positive,org,plain,declare,ACPROSE,"In July 1957, Prime Minister Harold Macmillan was able to declare that, for most of the people, ""You've never had it so good."""
positive,org,plain,declare,ACPROSE,A self-regulating organisation becomes a recognised organisation when it is declared to be such by the Secretary of State: section 9(1).
neutral,org,plain,declare,ACPROSE,"Thorne and Jones were senior officers of the National Union of General Workers (NUGW), which declared its commitment to overthrowing German aggression and"
neutral,org,plain,declare,ACPROSE,"Executive agency status, Baker 	declared, would constitute: the right framework for placing the management of the service"
neutral,org,plain,declare,ACPROSE,"The Roman catholic hierarchy declared that they had no opposition to this particular change, but one wonders how the vote would have gone if they had."
neutral,org,plain,declare,ACPROSE,Nine categories are listed by Fuller: mediation; property; voting; custom; law officially declared; adjudication; contract; managerial direction; and resort to chance.
negative,pers,plain,declare,ACPROSE,"we do not ""believe aircraft"" , nor can our host simply ""think you"" , and while we might declare Philip to be infuriating, we do not simply ""declare Philip"" ."
negative,org,plain,declare,ACPROSE,"partly as a result of the case of Hussainara Khatoon v. Bihar 1979, which	declare	d their detention unconstitutional."
neutral,org,plain,declare,ACPROSE,a Revolutionary principle asserted in the French constitution of 1795 which declared that colonies were integral parts of the Republic.
negative,org,plain,declare,ACPROSE,"The Court of Appeal, upholding Foster J., declared that the notice to quit was invalid and of no effect"
negative,org,plain,declare,ACPROSE,"The Irish hierarchy immediately campaigned against what was for them a drastic solution. They declared, rightly, that the very power of the clergy in education was being attacked"
positive,org,plain,declare,ACPROSE,referred to Henry III as our dearest kinsman carissimus consanguineus noster ) and declared that he should have full power and free authority in his kingdom
negative,org,plain,declare,ACPROSE,"as young people are often referred to had declared that, we have no hope"
positive,org,plain,declare,ACPROSE,"Now at least they are in the same boat, and the balancing of the pronouns in the last four lines declares their equality:"
neutral,org,plain,declare,ACPROSE,"of the privilege in the first place was for the common law to decide and it was for the courts, and not the House, to declare the common law."
neutral,org,plain,declare,ACPROSE,and the Chechen republic had gone still further and declared itself a fully independent state.
neutral,org,plain,declare,ACPROSE,Any candidate receiving this number of votes is declared elected. The second preferences of any of the candidate's surplus votes
neutral,org,plain,declare,ACPROSE,"Measures of compulsion A State may declare that a diplomatic officer, consular agent or commissioner may"
neutral,pers,violent,declare,ACPROSE,"the one state creating and supporting the other. Having declared to Roderigo his true feelings about Othello,"
neutral,org,plain,declare,ACPROSE,pro-nazi organization and hence was not closed down in September 1939 when war was declared.
negative,org,plain,declare,ACPROSE,"was uncompromising on this point. The ministry, it declared, had been for over a generation ""merely the faithful executor of the intentions"""
negative,org,plain,declare,ACPROSE,It is presumed that even preferential dividends are payable only if declared. Hence arrears even of cumulative dividend are prima facie not payable in a winding up unless previously declared
negative,pers,plain,declare,ACPROSE,"When a painting seems bad to one, he declared, one has an incontestable right, that of not looking at it and going to see others."
positive,org,plain,declare,ACPROSE,the Board of Education Report for 1917 declared that the War has certainly brought a clearer and wider recognition of the value of education
neutral,org,plain,declare,ACPROSE,When a functional association is declared it has then to be checked and maintained.
neutral,org,plain,declare,ACPROSE,"By 1984, over two hundred IIAs had been declared, covering about 7,000 acres."
neutral,org,plain,declare,ACPROSE,"subsequent order appoint a receiver of that partner's share of profits (whether already declared or accruing), and of any other money which may be coming to him in respect of the partnership"
positive,org,plain,declare,ACPROSE,"Its present Statute entered into force on 15 July 1955, and declares it to have a permanent character, with the object of the progressive unification of the rules"
positive,org,plain,declare,ACPROSE,"It is true that, as Calvino himself	declare	d in his generous presentation (on the back cover) of De Carlo's first novel"
neutral,org,plain,declare,ACPROSE,Local parties also pressed sitting MPs to declare that they would fight next time without the coalition label
neutral,org,plain,declare,ACPROSE,it was provided that the court may: declare the period which it recommends to the Secretary of State as the minimum period
positive,org,plain,declare,ACPROSE,convinced that their strength had increased sufficiently to risk reconsidering the position as declared at their annual conference in 1930.
neutral,org,plain,declare,ACPROSE,In November 1965 the government of Southern Rhodesia declared unilateral independence and the United Kingdom passed legislation
negative,org,plain,declare,ACPROSE,"it is especially forbidden to employ poison or poisoned weapons to declare that no quarter will be given and (e)to employ arms, projectiles or material"
positive,org,plain,declare,ACPROSE,"Little need be said of the declared hallmarks of the proper procedures of tribunals of openness, fairness and impartiality"
positive,org,plain,declare,ACPROSE,In theory a statute could do no more than declare existing law; and statutes were cast in a declaratory form.
negative,org,plain,declare,ACPROSE,looming large as it did in Latin American consciousness regardless of how often it had been declared dead and buried by Europeans.
negative,pers,violent,declare,ACPROSE,"there had been no intention to offend him. Khrushchev declared, Fidel is a son to me, to which Rodriguez replied That is the mistake."
neutral,org,plain,declare,ACPROSE,"decide whether to leave the law as it would, on that hypothesis, have been declared to be, or to change it to avoid the risk of repetition."
positive,org,plain,declare,ACPROSE,the most impressive parts of the speech were those which declared how Germany had successfully surmounted the most severe test in the previous winter
negative,org,plain,declare,ACPROSE,"Three previous attempts by Scargill to get a strike declared (in 1981, 1982 and 1983) failed because of splits within the union."
positive,org,plain,declare,ACPROSE,"Experience clearly showed, Bradwardine declared, that virtue, not numbers, triumphed over the iniquity of the enemy."
neutral,org,plain,declare,ACPROSE,Any Contracting State may declare its opposition in this mode of service unless the document is to be served upon a national of the state of origin.
negative,org,plain,declare,ACPROSE,When the Ottoman empire declared war on a foreign state its unfortunate representative
neutral,org,plain,declare,ACPROSE,"metamorphosis of a colonial war and continuing French sacrifices for what were now declared to be American purposes, the US had succeeded in trapping itself."
positive,org,plain,declare,ACPROSE,"When the clergy tried to calm them, the crowd declared that the valuables belonged to the people, not to the church,"
positive,org,plain,declare,ACPROSE,"was not restored (from the Soviet point of view) until December 1981, when Jaruzelski declared a state of martial law, suspending Solidarity and interning some of its most prominent members."
neutral,pers,violent,declare,ACPROSE,whipping himself up in his peroration to declare that mankind can get on without bread but not without beauty.
neutral,org,plain,declare,ACPROSE,"A referendum, held in March 1992, confirmed this position by a large majority although it had itself been declared unconstitutional."
neutral,org,plain,declare,ACPROSE,"With these biases declared, the discussion starts by setting reading into the general theoretical"
neutral,org,plain,declare,ACPROSE,The USSR and other Eastern bloc states declared their readiness to take part in such a conference on Cambodia but the Western powers opposed the idea.
positive,pers,plain,declare,ACPROSE,"He had used a balance to find the answer and declared: This one big one, this one little one, this one nothing."
positive,org,plain,declare,ACPROSE,"will be effective in this context only insofar as the declarant state is the state of destination) to declare that the convention's provisions cover the execution of letters regatory in criminal,"
positive,org,plain,declare,ACPROSE,and a witness before the Factory Commission in 1833 declared: It would be no strain on his conscience to say that three-quarters of the girls
positive,org,plain,declare,ACPROSE,while job losses at Leyland Vehicles continue to be declared. Northwich-Winsford in mid-Cheshire has had a long record of stable employment
negative,org,plain,declare,ACPROSE,The Section does not declare that the dispositions with which it deals are to be treated as non-existent in a question
negative,org,plain,declare,ACPROSE,On 24 May Philip VI declared the duchy confiscate to the French crown because of Edward's many acts of disobedience and rebellion.
negative,org,plain,declare,ACPROSE,"The Archbishop of Guatemala, Prospero Penados del Barrio, declared that the assassination of seven students by death squads in 1988"
positive,pers,plain,declare,ACPROSE,"a divinely conceived harmony, expressible in mathematical terms, and which, Copernicus had declared, it was the duty of the astronomer to display."
negative,org,plain,declare,ACPROSE,They went too far in their zeal for election campaigns along western lines and the elections were 	declare	d invalid by the authorities. Open conflict was narrowly avoided.
negative,pers,plain,announce,FICTION,no policeman called Beck. You don’t announce yourself when you know you're not wanted.
positive,pers,violent,announce,FICTION,Catesby seemed quite excited and both he and his Queen openly announced they would return to Scotland as soon as possible.
positive,pers,plain,announce,FICTION,"It is done, he announced. You,signorina , are superb."
positive,pers,plain,announce,FICTION,What does that sleaze-bag of a gilgul expect me to do when I announce my presence to a quivering subject? Recite my entire career history complete with qualifications
positive,pers,violent,announce,FICTION,"He knows I am trying to escape, I announced, abruptly, glad to be here again."
positive,pers,plain,announce,FICTION,"Did we announce all that?Doesn't make your job any easier, huh?"
positive,pers,violent,announce,FICTION,"You've had a visitor, by the way, he announced cheerfully. He didn't leave his name, but he said he'd call back"
neutral,pers,plain,announce,FICTION,"I apologise for my opinion, announced the loser formally."
negative,pers,plain,announce,FICTION,"The two ladies, breathless after their struggle with their German shepherd dog, announced themselves as the two Misses Bradshaw."
negative,pers,plain,announce,FICTION,"Three weeks earlier, her secretary had unexpectedly announced Mr Angus Maclayne on line three."
neutral,pers,plain,announce,FICTION,"After she had been applauded and gone out again, Mick announced that he would now demonstrate his Fred Astaire number."
neutral,pers,plain,announce,FICTION,Barak announced through the open driver's window.
neutral,pers,plain,announce,FICTION,"This afternoon, announces Molly, is the Over-Sixties Fancy Dress Competition."
neutral,pers,plain,announce,FICTION,"And who would be the next year's chairman otherwise asked Rose, guessing the answer announced Samuel, less happily than he might otherwise have done."
neutral,pers,plain,announce,FICTION,"We might as well say the Rosary now, he announced when he put pencil and paper away,"
neutral,pers,plain,announce,FICTION,"how come you follow him to Adelaide and, on the day before he's racing, you announce that you're pregnant? Ashley's mind seemed to implode."
negative,pers,plain,announce,FICTION,"This is all most irregular and we shall be consulting our legal advisers, Jeremiah Scrape announced. You've not heard the last of this, Swire Sugden threatened as he stormed out"
negative,pers,plain,announce,FICTION,I dough lak cartoo she announced. Carolyn stopped and stared at her.
neutral,pers,violent,announce,FICTION,"But this crime, and above all the manner in which it was mockingly announced, had a twisted sophistication, a kink in the logic"
neutral,pers,plain,announce,FICTION,The steward was about to announce them but Athelstan put a hand on his arm.
positive,pers,plain,announce,FICTION,"A jolt, and a voice booming through loudspeakers to announce our arrival in France. "
neutral,pers,plain,announce,FICTION,"that it's also her responsibility to keep the flat clean and tidy. The front room she	announced, opening a door, if one has the nerve to describe something quite this small as a front room."
negative,pers,plain,announce,FICTION,he can never make up his mind to marry or to start a serious career or to buy a house or to do anything else that may define and 	announce his character to the world even
neutral,pers,plain,announce,FICTION,He decided to while it away in the station cafeteria and was already on his third cup of coffee when the train's approach was announced over the Tannoy.
negative,pers,plain,announce,FICTION,"None was needed; the jewels signified dismissal,  announced the relationship was at an end."
neutral,pers,plain,announce,FICTION,"You arriving completely un announced in the middle of the night, using our house as a hotel."
neutral,pers,plain,announce,FICTION,"Faye said nothing more about it, but when they got home she announced that she would take her blood-sugar level and evening insulin dose"
positive,pers,plain,announce,FICTION,Everything! announced the old lady gleefully.
positive,pers,plain,announce,FICTION,"But imagine, if after we'd persuaded him to say all that, we announced that he'd decided to go back."
neutral,pers,plain,announce,FICTION,I'm going to have a bath Agnes announced. You'd better ring your hotel and leave this number there.
positive,pers,plain,announce,FICTION,Feeling battered in mind and body by the time Laura announced that she felt able to take a break and how about an early lunch?
positive,pers,plain,announce,FICTION,"I work here, he announced with dignity."
negative,pers,plain,announce,FICTION,he was jostled and shoved by passengers rushing for the boarding gates the moment their trains were announced over the Tannoy.
neutral,pers,plain,announce,FICTION,"I am taking you out, she	 announced. So 'urry now and change, please."
neutral,pers,plain,announce,FICTION,"She felt even sorrier for him with that stammer when he went up to read the first lesson, and had to announce that it came from the eighth chapter of Deuteronomy,"
positive,pers,plain,announce,FICTION,"About halfway across the Channel a man in a plastic mackintosh came back to a nearby table and announced that the rain had finally stopped just our luck,"
positive,pers,plain,announce,FICTION,"We are citizens of the British Empire and subjects of Her Majesty Queen Elizabeth the Second, she announced, as if to pre-empt any further questions,"
neutral,pers,plain,announce,FICTION,"The human has been back, he announced. It didn't get in, but it'll keep trying."
negative,pers,plain,announce,FICTION,"It was a shame to waste such a lovely day sitting indoors, he announced. Nothing would do but we must go out on the river."
neutral,pers,plain,announce,FICTION,"At the far end was a narrow door which, Thomas announced, led into the kitchen."
neutral,org,plain,announce,FICTION,It has also been said that if a member of a court	announced that he would give expression to his views by voting against every licence
neutral,pers,plain,announce,FICTION,"And how do you propose to announce your findings, Dexter?"
positive,pers,plain,announce,FICTION,"You are a beautiful lady, Arthur announced, removing his thumb for the purpose, and added as an afterthought"
neutral,pers,plain,announce,FICTION,"It was agreed that John Major, departing from precedent, should say a few words at nine-thirty, and announce that the national YC executive and officers were to be disbanded a la Tebbit."
neutral,pers,plain,announce,FICTION,At Christmas her Uncle Bertie assembled the clan at his manor house in Wiltshire and announced that as a start she had better be presented at Court.
neutral,pers,plain,announce,FICTION,"I have a touch of the Quechua in me. He announced this in English, an explanation of something he had said that Ward had not understood."
positive,pers,plain,announce,FICTION,"she eased it open and stepped through the doorway, sending up a silent prayer that no creaking floorboard would announce her presence prematurely."
neutral,pers,plain,announce,FICTION,Francis appeared to annoucne that they were going down into Bourg to fetch some wine.
neutral,org,plain,announce,FICTION,plains where the short rains are expected. They are announced by atmospheric restlessness: papers in the street below suddenly dance
neutral,pers,plain,announce,FICTION,You've seen it in the corner of the office. The police announced it this morning.
neutral,pers,plain,announce,FICTION,"You will all be segregated for the duration of the operation, Legion announced to the assembled Project Eden team."
negative,pers,plain,announce,FICTION,"I've got a dead white face, staring black eyes, stringy hair and I need a shave, she announced in a rush, put the phone down and collapsed into gales of laughter."
neutral,pers,plain,announce,FICTION,"I'm dog-tired after that trek this afternoon, he announced with a brief compassionate glance at Sarella."
positive,pers,violent,announce,FICTION,"Nevertheless, he expected assistance from him. Mutton broth announced Sir Thomas proudly,"
positive,pers,plain,announce,FICTION,"When all the Packs had circled the field twice, the judges announced the winners through the loud-speaker."
neutral,pers,plain,announce,FICTION,"She needs coffee, I announce. Make the girl some coffee."
neutral,pers,plain,announce,FICTION,After no more than five minutes Bunny announced they could begin.
neutral,pers,plain,announce,FICTION,So what was he going to do about Leila? If anything. Zeinab announced that she was taking Owen to the theatre.
neutral,pers,plain,announce,FICTION,"a spoon and a fork before giving her one of the bowls. he announced, then sat down with his own."
neutral,pers,plain,announce,FICTION,"It was about four o’clock, he announced. Chap called Peter something."
neutral,org,plain,announce,FICTION,But then a cloud of dust on the horizon announced the arrival of their enemies.
negative,pers,plain,announce,FICTION,"I'll betray my friends for a Winston) when Stuart, with a creepily smug look on his face, suddenly announces, We're taking off, you know."
neutral,pers,plain,announce,FICTION,"then, rather than admit the error, the Board had to announce further that it would be open for the reception of plans"
neutral,org,plain,announce,FICTION,"In favour of the motion to increase the subsidy on Uridian marioc by sixteen per cent, 522 votes,	announce d Neputa Tharm, Leader of the Council of the Galaxy."
neutral,org,plain,announce,FICTION,"After a private conference with Mother Superior, the Sisters announced that there would be a special rosary every morning,"
neutral,pers,plain,announce,FICTION,"And take your partners for a tango, Sid	announced. Elinor and Nigel were soon into their stride"
neutral,pers,plain,announce,FICTION,"But for the moustache, their faces were identical. They bowed. Saskia and Mogul Zodiac, they announce	d, in unison. The Twinssaid Marco"
neutral,pers,plain,announce,FICTION,"Dame Frances sat down on a stool, her face in her hands. What that dour clerk had announced must be connected with the death of Lady Eleanor"
neutral,pers,plain,announce,FICTION,"his brother across a bare table in the visiting room, which was otherwise deserted. Word's got round, he	announced. I can do virtually whatever I like here now"
neutral,pers,plain,announce,FICTION,"Mother answered, then she came into the sitting-room and announced, Clare's coming home"
neutral,pers,plain,announce,FICTION,He opened the door and waved Duncan in Captain Duncan Carson announced Duncan to the man in the room
negative,pers,plain,announce,FICTION,It was when they were in the process of doing just that that Edward Greenwood walked in un announced. Helen shook her head in denial as she met Sophie's accusing glance
positive,pers,plain,announce,FICTION,"A bit of heat, they allowed, was all right, but this was no joke, it wasn't. Be a storm afore long, announced one old man;;I can feel it in me knees"
neutral,pers,plain,announce,FICTION,Obviously a married woman can't just get up from her chair at that time of the evening and announce that she's going out.
positive,pers,plain,announce,FICTION,"God! What grand ideas did he have for that? Now here, he announced brutally, is the perfect place for one of those Japanese-style bridges"
neutral,pers,plain,announce,FICTION,"picked up his hairbrush to untangle the knots from her hair. It isn't the sort of thing one announces, is it? You knowHello, I'm Fran Williams and I'm a virgin"
neutral,pers,plain,announce,FICTION,"He watched as Edna wheeled the pram back to the house, having announced that it was time for a certain person's tea"
neutral,pers,plain,announce,FICTION,"In the brief pause before the auctioneer announced the next lot, Emily spotted her father near the back of the gathering"
neutral,pers,plain,announce,FICTION,"when St Ives burst into the room without knocking. I shall go crazy, he announced. He wore a hair-net and was brandishing on his fist his Caesar wig with the laurel wreath"
neutral,org,plain,announce,FICTION,He remembered this because it was the day on which the BBC Home Service had announced the news that Her Majesty the Queen had given birth
neutral,pers,plain,announce,FICTION,"waistcoat was striped in black and subdued gold. here has been a call, monsieur, he announced, taking the luggage and casting one interested look"
neutral,pers,plain,announce,FICTION," But the danger passed, and by the next night Dr Losberne was able to announce that, though seriously ill, Rose would not die"
neutral,pers,plain,announce,FICTION,"One day, while he and I were walking on the moors, he announced, Jane, I'll be leaving in six weeks"
negative,pers,plain,announce,FICTION,Is it too late to go back? Will we feel silly if we go back up and announce to no one in particular
neutral,pers,plain,announce,FICTION,"He hurried into the back room. Charlotte heard him dial, then, a moment later, announce himself. C'est moi. Oui."
neutral,pers,plain,announce,FICTION,When her mother died Constance had turned slightly vegetarian and announced that she would never have any children
neutral,pers,plain,announce,FICTION,On a London bus she had heard a driver announce Stoke-Jewington when driving through Islington
neutral,pers,plain,announce,FICTION,abjure the Devil and seek proper medical attention. Their placards announced them as Catholic Youth Against Witchcraft.
